#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr14-1	chr14	21500516	21501016	+	1178.1	0.622	1440.5	197.86	0.0	0.61
chr6-2	chr6	42349476	42349976	+	1160.9	0.671	1409.0	91.66	0.0	0.64
chr8-4	chr8	84203410	84203910	+	1147.6	0.642	1386.5	12.66	0.0	0.65
chr15-5	chr15	102517797	102518297	+	1142.9	0.64	1352.0	123.41	0.0	0.66
chr8-8	chr8	91133846	91134346	+	1135.1	0.711	1343.5	523.87	0.0	0.65
chr11-2	chr11	55469018	55469518	+	1117.3	0.618	1432.5	140.02	0.0	0.63
chr8-23	chr8	79208585	79209085	+	1114.8	0.711	1211.0	51.73	0.0	0.74
chr16-1	chr16	38088690	38089190	+	1111.9	0.594	1427.0	133.36	0.0	0.62
chr10-3	chr10	80261103	80261603	+	1110.9	0.615	1327.5	77.61	0.0	0.67
chr6-1	chr6	113306320	113306820	+	1109.5	0.668	1409.5	86.39	0.0	0.64
chr8-7	chr8	79046622	79047122	+	1106.7	0.711	1348.0	138.62	0.0	0.66
chr11-5	chr11	75461161	75461661	+	1092.6	0.691	1306.0	52.39	0.0	0.68
chr2-1	chr2	119173839	119174339	+	1092.3	0.628	1369.0	110.48	0.0	0.66
chr5-4	chr5	124006925	124007425	+	1089.7	0.685	1317.5	105.48	0.0	0.68
chr9-1	chr9	57075860	57076360	+	1086.8	0.642	1433.5	63.39	0.0	0.62
chr9-2	chr9	66795224	66795724	+	1077.3	0.615	1378.0	251.24	0.0	0.65
chr5-8	chr5	135149236	135149736	+	1071.7	0.653	1253.5	127.72	0.0	0.7
chr11-6	chr11	61175073	61175573	+	1070.1	0.693	1304.0	276.14	0.0	0.68
chr17-18	chr17	57031645	57032145	+	1068.6	0.617	1399.0	101.99	0.0	0.63
chr18-2	chr18	31634626	31635126	+	1068.4	0.65	1283.5	141.68	0.0	0.68
chr1-2	chr1	131527433	131527933	+	1060.9	0.642	1422.5	140.41	0.0	0.63
chr15-4	chr15	78925966	78926466	+	1058.2	0.625	1420.0	44.27	0.0	0.62
chr15-10	chr15	27405682	27406182	+	1055.4	0.695	1297.0	59.6	0.0	0.68
chr10-2	chr10	81320531	81321031	+	1054.3	0.647	1371.0	168.66	0.0	0.65
chr11-4	chr11	69316177	69316677	+	1047.3	0.702	1337.5	128.63	0.0	0.67
chr8-12	chr8	69996201	69996701	+	1047.1	0.675	1306.5	131.88	0.0	0.67
chr8-27	chr8	84846761	84847261	+	1040.2	0.73	1196.0	96.73	0.0	0.73
chr11-9	chr11	106084076	106084576	+	1034.5	0.721	1278.5	274.09	0.0	0.69
chr14-3	chr14	61172596	61173096	+	1030.6	0.665	1333.0	120.19	0.0	0.66
chr8-25	chr8	84202327	84202827	+	1026.1	0.654	1199.0	11.17	0.0	0.73
chr2-2	chr2	173263552	173264052	+	1018.5	0.648	1355.5	30.46	0.0	0.64
chr8-26	chr8	84125570	84126070	+	1013.5	0.738	1197.5	57.23	0.0	0.74
chr10-12	chr10	80701941	80702441	+	1012.0	0.612	1191.5	71.49	0.0	0.74
chr10-4	chr10	128566064	128566564	+	997.5	0.667	1296.5	89.64	0.0	0.69
chr14-4	chr14	18239004	18239504	+	992.8	0.619	1310.0	122.75	0.0	0.68
chr15-9	chr15	59648342	59648842	+	988.1	0.651	1299.5	123.0	0.0	0.68
chr12-2	chr12	86826708	86827208	+	987.3	0.654	1324.0	31.66	0.0	0.67
chr19-1	chr19	6363410	6363910	+	986.7	0.688	1301.0	169.81	0.0	0.68
chr8-9	chr8	70839452	70839952	+	981.2	0.698	1338.5	143.52	0.0	0.66
chr12-1	chr12	116280888	116281388	+	980.4	0.686	1339.0	85.78	0.0	0.66
chr9-12	chr9	21291142	21291642	+	977.2	0.714	1200.0	96.03	0.0	0.72
chr6-4	chr6	88842084	88842584	+	977.0	0.65	1302.0	180.39	0.0	0.67
chr15-6	chr15	27418558	27419058	+	972.8	0.691	1334.0	61.26	0.0	0.66
chr5-6	chr5	142821588	142822088	+	970.1	0.674	1300.5	39.75	0.0	0.67
chr5-5	chr5	135008859	135009359	+	969.7	0.643	1308.0	130.6	0.0	0.67
chr11-11	chr11	97188015	97188515	+	967.5	0.666	1272.5	98.53	0.0	0.69
chr4-8	chr4	150707139	150707639	+	966.9	0.686	1258.5	156.87	0.0	0.69
chr9-5	chr9	21546379	21546879	+	965.8	0.652	1288.0	242.75	0.0	0.68
chr11-3	chr11	70668687	70669187	+	964.3	0.595	1354.5	49.47	0.0	0.65
chr11-17	chr11	69094704	69095204	+	963.4	0.68	1243.0	39.87	0.0	0.7
chr4-1	chr4	16163350	16163850	+	962.9	0.63	1361.5	301.7	0.0	0.65
chr12-3	chr12	86826708	86827208	+	961.4	0.665	1322.5	30.62	0.0	0.67
chr9-4	chr9	21546379	21546879	+	955.8	0.658	1288.5	234.08	0.0	0.69
chr8-14	chr8	88297915	88298415	+	954.3	0.699	1261.5	23.71	0.0	0.69
chr11-12	chr11	97188015	97188515	+	949.1	0.665	1269.5	94.87	0.0	0.69
chr8-10	chr8	95080805	95081305	+	947.6	0.674	1321.0	194.57	0.0	0.67
chr16-2	chr16	42875328	42875828	+	947.5	0.624	1261.0	168.28	0.0	0.69
chr4-2	chr4	151861796	151862296	+	940.3	0.649	1350.5	178.99	0.0	0.64
chr17-22	chr17	34603581	34604081	+	939.2	0.609	1224.0	91.62	0.0	0.71
chr6-3	chr6	91620011	91620511	+	938.5	0.594	1328.0	52.93	0.0	0.66
chr4-4	chr4	59315523	59316023	+	937.6	0.599	1341.5	37.91	0.0	0.66
chr4-3	chr4	59315523	59316023	+	936.2	0.58	1342.5	37.84	0.0	0.66
chr2-16	chr2	91070211	91070711	+	935.9	0.714	1170.0	64.47	0.0	0.75
chr7-2	chr7	44929451	44929951	+	935.2	0.675	1322.0	130.77	0.0	0.67
chr10-5	chr10	80622157	80622657	+	931.3	0.675	1265.5	131.15	0.0	0.69
chr15-12	chr15	85634434	85634934	+	928.1	0.704	1267.5	85.26	0.0	0.69
chr2-7	chr2	30981812	30982312	+	927.4	0.713	1261.5	162.3	0.0	0.7
chr15-8	chr15	97914161	97914661	+	924.7	0.707	1324.5	150.78	0.0	0.66
chr15-20	chr15	76196070	76196570	+	924.2	0.571	1229.0	12.4	0.0	0.71
chr17-20	chr17	56462219	56462719	+	924.1	0.667	1306.5	114.94	0.0	0.67
chr8-24	chr8	83607900	83608400	+	923.9	0.7	1202.5	61.51	0.0	0.71
chr11-20	chr11	120573023	120573523	+	922.2	0.665	1232.5	68.38	0.0	0.71
chr3-2	chr3	107829571	107830071	+	921.1	0.698	1271.5	37.72	0.0	0.7
chr3-4	chr3	126831311	126831811	+	917.6	0.703	1225.5	131.46	0.0	0.71
chr14-6	chr14	120477283	120477783	+	917.5	0.602	1257.5	133.16	0.0	0.69
chr15-14	chr15	76196070	76196570	+	917.3	0.557	1249.5	12.29	0.0	0.7
chr12-5	chr12	85201676	85202176	+	916.5	0.653	1254.5	80.62	0.0	0.69
chr19-8	chr19	7039944	7040444	+	916.5	0.704	1205.5	74.08	0.0	0.71
chr8-11	chr8	86772907	86773407	+	913.4	0.676	1308.0	98.99	0.0	0.67
chr3-1	chr3	88492391	88492891	+	913.1	0.586	1323.5	16.54	0.0	0.66
chr18-1	chr18	21300047	21300547	+	913.1	0.675	1306.5	346.41	0.0	0.67
chr9-11	chr9	59656135	59656635	+	912.6	0.682	1206.0	78.22	0.0	0.72
chr1-3	chr1	91052744	91053244	+	912.3	0.696	1295.5	69.46	0.0	0.68
chr9-6	chr9	40800925	40801425	+	912.3	0.655	1274.5	102.91	0.0	0.69
chr2-3	chr2	33130978	33131478	+	907.8	0.58	1342.5	123.38	0.0	0.66
chr14-5	chr14	50930784	50931284	+	907.6	0.714	1275.0	134.07	0.0	0.67
chr8-21	chr8	84104635	84105135	+	906.9	0.726	1220.0	51.81	0.0	0.71
chr4-6	chr4	59314900	59315400	+	904.0	0.549	1267.5	36.1	0.0	0.68
chr8-18	chr8	84336361	84336861	+	901.9	0.717	1236.0	132.02	0.0	0.71
chr17-21	chr17	48409689	48410189	+	901.7	0.617	1287.5	120.67	0.0	0.67
chr6-5	chr6	91620011	91620511	+	900.7	0.594	1301.0	49.74	0.0	0.67
chr8-19	chr8	84979877	84980377	+	898.5	0.621	1234.5	16.32	0.0	0.69
chr11-7	chr11	78363617	78364117	+	896.1	0.583	1287.5	50.12	0.0	0.68
chr7-3	chr7	145106341	145106841	+	895.9	0.687	1300.5	94.47	0.0	0.68
chr7-6	chr7	45017550	45018050	+	894.1	0.624	1192.0	80.2	0.0	0.73
chr17-27	chr17	45746799	45747299	+	893.1	0.698	1200.5	43.08	0.0	0.73
chr7-1	chr7	19715595	19716095	+	892.3	0.642	1346.5	194.31	0.0	0.66
chr8-28	chr8	84381576	84382076	+	891.7	0.734	1186.5	157.44	0.0	0.73
chr5-10	chr5	137628686	137629186	+	889.2	0.706	1244.5	99.9	0.0	0.69
chr7-5	chr7	45017550	45018050	+	888.7	0.615	1203.0	79.31	0.0	0.72
chr17-26	chr17	64331858	64332358	+	887.5	0.72	1216.0	247.18	0.0	0.7
chr17-24	chr17	74528084	74528584	+	886.5	0.635	1222.5	138.7	0.0	0.72
chr19-2	chr19	18890213	18890713	+	886.4	0.717	1252.0	744.96	0.0	0.7
chr2-6	chr2	33215595	33216095	+	885.3	0.697	1265.5	32.32	0.0	0.68
chr8-13	chr8	70212146	70212646	+	884.6	0.647	1278.0	92.19	0.0	0.68
chr11-8	chr11	20477478	20477978	+	884.0	0.695	1285.0	221.43	0.0	0.68
chr2-13	chr2	25224565	25225065	+	880.4	0.644	1195.0	105.67	0.0	0.72
chr15-19	chr15	87654476	87654976	+	879.8	0.694	1234.0	94.1	0.0	0.7
chr15-16	chr15	10818240	10818740	+	879.0	0.654	1242.0	58.56	0.0	0.7
chr15-15	chr15	33907004	33907504	+	879.0	0.672	1247.5	198.99	0.0	0.71
chr2-4	chr2	126303138	126303638	+	876.2	0.686	1329.5	104.87	0.0	0.66
chr5-11	chr5	112276301	112276801	+	874.2	0.709	1239.0	40.0	0.0	0.68
chr19-10	chr19	5345620	5346120	+	874.2	0.623	1162.5	81.86	0.0	0.74
chr1-6	chr1	74295562	74296062	+	871.9	0.678	1242.0	65.83	0.0	0.7
chr5-18	chr5	110770544	110771044	+	871.8	0.71	1156.5	228.97	0.0	0.74
chr4-7	chr4	59315125	59315625	+	871.7	0.556	1266.5	34.35	0.0	0.69
chr19-3	chr19	11965262	11965762	+	871.1	0.696	1247.5	399.75	0.0	0.69
chr12-4	chr12	84450959	84451459	+	866.5	0.69	1268.0	465.58	0.0	0.69
chr19-11	chr19	5345620	5346120	+	865.1	0.594	1160.0	80.34	0.0	0.75
chr1-4	chr1	37864774	37865274	+	863.6	0.7	1277.5	169.72	0.0	0.68
chr10-8	chr10	120636055	120636555	+	863.6	0.689	1244.0	36.93	0.0	0.71
chr15-18	chr15	26379892	26380392	+	861.3	0.649	1234.5	65.25	0.0	0.69
chr2-10	chr2	94157824	94158324	+	861.2	0.719	1209.5	290.82	0.0	0.71
chr5-15	chr5	34187628	34188128	+	857.0	0.731	1191.5	109.6	0.0	0.71
chr19-6	chr19	6921785	6922285	+	850.9	0.717	1220.0	79.71	0.0	0.71
chr10-11	chr10	58323157	58323657	+	850.0	0.586	1203.0	75.09	0.0	0.72
chr11-21	chr11	20542808	20543308	+	847.5	0.649	1207.0	137.91	0.0	0.71
chr8-15	chr8	84197760	84198260	+	846.8	0.559	1258.0	9.04	0.0	0.69
chr8-33	chr8	79639005	79639505	+	845.7	0.706	1148.5	97.93	0.0	0.74
chr9-3	chr9	57972054	57972554	+	844.4	0.652	1304.0	59.36	0.0	0.67
chr10-10	chr10	58323157	58323657	+	844.1	0.575	1208.5	74.19	0.0	0.72
chr15-36	chr15	81811125	81811625	+	843.1	0.595	1131.5	44.98	0.0	0.77
chr17-28	chr17	24549737	24550237	+	841.8	0.676	1199.5	48.8	0.0	0.73
chr13-1	chr13	52025357	52025857	+	839.5	0.658	1282.0	104.21	0.0	0.69
chr9-10	chr9	104002327	104002827	+	839.2	0.654	1214.5	258.96	0.0	0.71
chr12-7	chr12	105032338	105032838	+	837.4	0.703	1205.0	57.1	0.0	0.72
chr11-15	chr11	96977577	96978077	+	835.7	0.682	1253.0	71.95	0.0	0.69
chr15-11	chr15	76204137	76204637	+	834.5	0.635	1276.5	11.17	0.0	0.68
chr19-4	chr19	6979758	6980258	+	834.4	0.593	1233.5	49.34	0.0	0.71
chr8-45	chr8	94601590	94602090	+	832.8	0.75	1090.5	299.28	0.0	0.78
chr15-13	chr15	38470499	38470999	+	832.5	0.649	1266.0	39.09	0.0	0.67
chr8-22	chr8	72160849	72161349	+	832.0	0.719	1218.5	188.31	0.0	0.7
chr5-12	chr5	32135577	32136077	+	830.9	0.582	1237.5	79.25	0.0	0.69
chr8-38	chr8	83972623	83973123	+	829.5	0.763	1119.5	43.46	0.0	0.76
chr5-14	chr5	32135577	32136077	+	828.5	0.584	1211.0	78.96	0.0	0.7
chr1-5	chr1	135021876	135022376	+	827.8	0.679	1255.5	69.87	0.0	0.69
chr17-23	chr17	35841205	35841705	+	826.7	0.706	1222.5	39.08	0.0	0.7
chr8-17	chr8	4165964	4166464	+	826.4	0.696	1243.5	307.34	0.0	0.7
chr10-13	chr10	58323157	58323657	+	825.3	0.588	1189.5	71.35	0.0	0.73
chr15-21	chr15	7862824	7863324	+	820.6	0.677	1214.0	41.34	0.0	0.71
chr8-35	chr8	120589035	120589535	+	820.2	0.722	1147.5	102.76	0.0	0.74
chr8-16	chr8	84197760	84198260	+	820.1	0.536	1255.0	8.73	0.0	0.69
chr9-17	chr9	59691627	59692127	+	820.0	0.681	1143.5	62.35	0.0	0.75
chr11-26	chr11	121672973	121673473	+	818.7	0.749	1162.0	110.73	0.0	0.75
chr11-23	chr11	74832021	74832521	+	816.7	0.674	1192.0	41.44	0.0	0.72
chr19-7	chr19	4510117	4510617	+	816.1	0.719	1217.0	194.8	0.0	0.71
chr4-9	chr4	45012246	45012746	+	813.6	0.683	1229.0	198.0	0.0	0.7
chr6-6	chr6	29195826	29196326	+	812.9	0.683	1242.5	79.45	0.0	0.69
chr18-5	chr18	60891344	60891844	+	811.8	0.735	1175.5	118.81	0.0	0.74
chr11-13	chr11	109611395	109611895	+	811.3	0.648	1265.5	157.35	0.0	0.68
chr15-17	chr15	62328237	62328737	+	810.6	0.685	1236.5	110.69	0.0	0.7
chr17-25	chr17	14610768	14611268	+	810.3	0.686	1216.0	106.09	0.0	0.7
chr10-6	chr10	79854281	79854781	+	809.8	0.633	1258.0	76.22	0.0	0.68
chr18-4	chr18	36560160	36560660	+	809.7	0.674	1178.5	188.9	0.0	0.72
chr12-11	chr12	113155907	113156407	+	809.1	0.692	1118.5	47.77	0.0	0.77
chr1-12	chr1	88474528	88475028	+	805.8	0.692	1173.0	104.7	0.0	0.73
chr13-6	chr13	54693780	54694280	+	805.0	0.677	1089.5	83.81	0.0	0.78
chr11-10	chr11	20332561	20333061	+	803.9	0.629	1274.0	88.57	0.0	0.68
chr4-5	chr4	101647210	101647710	+	803.7	0.682	1270.5	272.9	0.0	0.67
chr14-14	chr14	54517313	54517813	+	803.0	0.757	1118.5	343.29	0.0	0.76
chr6-7	chr6	47813392	47813892	+	801.7	0.685	1215.5	140.42	0.0	0.7
chr15-29	chr15	3995639	3996139	+	800.5	0.677	1162.0	127.32	0.0	0.74
chr3-14	chr3	36475545	36476045	+	799.1	0.722	1088.0	77.06	0.0	0.79
chr5-7	chr5	144898418	144898918	+	796.1	0.706	1268.0	135.6	0.0	0.67
chr7-13	chr7	110121517	110122017	+	794.5	0.697	1159.5	58.6	0.0	0.74
chr3-6	chr3	95696303	95696803	+	793.0	0.724	1161.5	34.9	0.0	0.73
chr2-9	chr2	132212227	132212727	+	793.0	0.675	1210.5	123.43	0.0	0.71
chr11-16	chr11	87108939	87109439	+	792.9	0.646	1251.0	143.49	0.0	0.69
chr2-19	chr2	154390119	154390619	+	792.5	0.683	1163.0	94.41	0.0	0.73
chr10-7	chr10	86100232	86100732	+	792.0	0.658	1257.0	178.66	0.0	0.68
chr15-27	chr15	78174054	78174554	+	790.9	0.719	1179.5	252.8	0.0	0.73
chr11-25	chr11	101658362	101658862	+	789.7	0.656	1163.5	61.29	0.0	0.72
chr2-24	chr2	30807563	30808063	+	788.7	0.715	1135.5	80.45	0.0	0.76
chr11-18	chr11	98773799	98774299	+	788.7	0.669	1241.0	24.52	0.0	0.69
chr15-30	chr15	58997893	58998393	+	787.5	0.69	1156.5	66.57	0.0	0.75
chr12-9	chr12	113000560	113001060	+	785.7	0.668	1166.0	52.24	0.0	0.72
chr8-29	chr8	84979877	84980377	+	785.3	0.618	1184.0	13.97	0.0	0.71
chr15-25	chr15	76207394	76207894	+	784.5	0.661	1183.0	10.3	0.0	0.74
chr1-11	chr1	87550994	87551494	+	778.5	0.731	1178.0	151.34	0.0	0.73
chr4-17	chr4	129011466	129011966	+	778.1	0.67	1142.0	41.3	0.0	0.76
chr8-51	chr8	92356014	92356514	+	777.9	0.682	1080.0	84.5	0.0	0.78
chr11-22	chr11	86586905	86587405	+	777.0	0.636	1205.5	28.07	0.0	0.7
chr8-34	chr8	105860164	105860664	+	776.7	0.697	1148.5	163.94	0.0	0.74
chr8-20	chr8	126849333	126849833	+	776.1	0.659	1221.0	33.06	0.0	0.7
chr18-9	chr18	60606008	60606508	+	775.3	0.69	1137.5	48.06	0.0	0.75
chr4-21	chr4	144949417	144949917	+	775.0	0.719	1123.5	98.77	0.0	0.79
chr2-17	chr2	3283777	3284277	+	772.8	0.702	1168.5	154.11	0.0	0.73
chr15-23	chr15	25622119	25622619	+	769.6	0.662	1190.0	84.33	0.0	0.71
chr5-13	chr5	129941370	129941870	+	769.2	0.681	1218.0	335.21	0.0	0.71
chr2-12	chr2	168458531	168459031	+	769.1	0.721	1199.5	71.34	0.0	0.72
chr2-8	chr2	34904964	34905464	+	768.9	0.689	1218.0	284.63	0.0	0.71
chr11-14	chr11	109425549	109426049	+	768.7	0.624	1262.0	180.06	0.0	0.67
chr3-3	chr3	31022822	31023322	+	767.9	0.663	1240.0	178.88	0.0	0.69
chr9-27	chr9	87464073	87464573	+	766.9	0.707	1096.0	496.5	0.0	0.79
chr2-39	chr2	25983216	25983716	+	766.8	0.734	1063.5	301.46	0.0	0.8
chr6-8	chr6	31100104	31100604	+	766.2	0.671	1199.5	19.69	0.0	0.71
chr5-16	chr5	135962434	135962934	+	766.1	0.71	1173.5	89.59	0.0	0.73
chr15-39	chr15	79690316	79690816	+	765.9	0.724	1113.0	86.11	0.0	0.76
chr5-19	chr5	134688553	134689053	+	765.7	0.699	1152.5	150.48	0.0	0.74
chr17-31	chr17	84957434	84957934	+	764.6	0.644	1166.0	158.15	0.0	0.73
chr7-12	chr7	105400079	105400579	+	764.5	0.721	1176.0	553.64	0.0	0.73
chr17-32	chr17	31790594	31791094	+	763.7	0.673	1164.0	63.63	0.0	0.73
chr3-209	chr3	88492391	88492891	+	761.9	0.622	690.5	13.42	0.0	0.82
chr1-7	chr1	92703940	92704440	+	761.6	0.659	1209.5	45.53	0.0	0.71
chr18-3	chr18	57249446	57249946	+	761.4	0.691	1224.5	59.91	0.0	0.71
chr3-5	chr3	100922042	100922542	+	759.5	0.722	1193.0	433.59	0.0	0.72
chr11-29	chr11	23255368	23255868	+	758.3	0.647	1149.5	162.59	0.0	0.74
chr9-9	chr9	43945390	43945890	+	756.3	0.624	1223.0	137.88	0.0	0.7
chr8-40	chr8	94178812	94179312	+	755.9	0.745	1104.5	66.62	0.0	0.77
chr10-9	chr10	5823829	5824329	+	754.8	0.683	1211.0	78.1	0.0	0.7
chr17-30	chr17	84044501	84045001	+	754.2	0.686	1171.5	155.17	0.0	0.73
chr5-9	chr5	139149742	139150242	+	752.6	0.675	1245.0	262.13	0.0	0.69
chr7-4	chr7	99141081	99141581	+	751.9	0.677	1242.0	208.55	0.0	0.68
chr1-13	chr1	86470651	86471151	+	750.8	0.682	1149.5	68.09	0.0	0.74
chr2-22	chr2	113621590	113622090	+	750.8	0.688	1142.5	100.83	0.0	0.74
chr11-19	chr11	101687757	101688257	+	750.2	0.68	1233.5	119.35	0.0	0.7
chr9-7	chr9	62624606	62625106	+	750.1	0.709	1240.0	132.01	0.0	0.69
chr1-9	chr1	128508755	128509255	+	750.1	0.714	1182.5	487.16	0.0	0.72
chr15-22	chr15	38300581	38301081	+	749.8	0.677	1200.5	60.54	0.0	0.71
chr8-32	chr8	88283069	88283569	+	749.0	0.69	1158.0	17.41	0.0	0.74
chr8-61	chr8	83714941	83715441	+	747.9	0.751	1052.5	48.09	0.0	0.82
chr9-13	chr9	109931254	109931754	+	747.8	0.701	1171.0	171.49	0.0	0.73
chr5-29	chr5	36075169	36075669	+	747.4	0.686	1094.5	68.06	0.0	0.78
chr10-16	chr10	59909289	59909789	+	745.9	0.714	1144.5	54.37	0.0	0.74
chr2-5	chr2	148522121	148522621	+	745.7	0.674	1290.0	105.6	0.0	0.68
chr12-8	chr12	40223100	40223600	+	745.6	0.657	1181.0	83.26	0.0	0.7
chr8-41	chr8	70461743	70462243	+	745.5	0.685	1101.5	36.85	0.0	0.77
chr3-11	chr3	145923924	145924424	+	744.0	0.753	1107.5	236.68	0.0	0.77
chr5-47	chr5	34660005	34660505	+	743.7	0.69	1032.0	230.99	0.0	0.82
chr8-31	chr8	83278351	83278851	+	743.5	0.706	1161.5	240.19	0.0	0.73
chr7-10	chr7	127477718	127478218	+	743.4	0.663	1182.0	77.47	0.0	0.72
chr2-11	chr2	73386417	73386917	+	743.3	0.715	1205.5	396.72	0.0	0.7
chr8-37	chr8	84201420	84201920	+	742.5	0.59	1125.0	7.84	0.0	0.75
chr2-15	chr2	164432815	164433315	+	742.4	0.663	1174.0	44.22	0.0	0.73
chr15-35	chr15	77945711	77946211	+	740.5	0.734	1134.0	55.42	0.0	0.74
chr7-7	chr7	44986475	44986975	+	739.8	0.68	1189.5	90.68	0.0	0.71
chr5-30	chr5	123906708	123907208	+	739.7	0.672	1088.5	164.71	0.0	0.78
chr10-15	chr10	86705467	86705967	+	739.6	0.687	1157.5	148.15	0.0	0.73
chr4-19	chr4	133614236	133614736	+	738.5	0.704	1136.5	88.19	0.0	0.75
chr17-36	chr17	27141904	27142404	+	736.1	0.74	1121.0	51.78	0.0	0.76
chr19-13	chr19	42128905	42129405	+	736.1	0.732	1154.0	95.55	0.0	0.74
chr11-38	chr11	119933123	119933623	+	733.9	0.702	1105.0	52.31	0.0	0.76
chr10-14	chr10	81182591	81183091	+	733.5	0.673	1171.0	73.18	0.0	0.72
chr15-31	chr15	37960726	37961226	+	733.4	0.69	1149.0	345.75	0.0	0.75
chr14-8	chr14	62760995	62761495	+	732.9	0.712	1185.0	321.27	0.0	0.73
chr19-9	chr19	46761137	46761637	+	732.6	0.667	1175.5	214.19	0.0	0.71
chr19-5	chr19	41981013	41981513	+	732.6	0.643	1232.0	113.92	0.0	0.7
chr8-30	chr8	70539285	70539785	+	730.9	0.64	1182.5	79.83	0.0	0.72
chr17-29	chr17	25756853	25757353	+	730.8	0.629	1186.5	55.52	0.0	0.72
chr13-7	chr13	47043104	47043604	+	730.5	0.734	1070.0	404.51	0.0	0.79
chr16-3	chr16	4586560	4587060	+	727.8	0.736	1158.0	95.51	0.0	0.73
chr11-52	chr11	121236866	121237366	+	725.9	0.701	1040.5	135.7	0.0	0.83
chr11-44	chr11	78363617	78364117	+	723.4	0.574	1077.5	36.86	0.0	0.79
chr2-35	chr2	127722428	127722928	+	722.9	0.679	1082.0	271.45	0.0	0.77
chr15-50	chr15	80024357	80024857	+	722.2	0.684	1092.0	73.86	0.0	0.78
chr11-33	chr11	60352750	60353250	+	721.1	0.702	1133.5	164.76	0.0	0.75
chr19-15	chr19	5724569	5725069	+	720.3	0.649	1150.5	36.31	0.0	0.73
chr11-36	chr11	103267391	103267891	+	718.0	0.716	1124.0	58.14	0.0	0.75
chr16-7	chr16	10754499	10754999	+	716.4	0.692	1115.5	143.15	0.0	0.75
